oid,osm_id,highway,access,start_date,active_years,abandoned_date,abandoned,surface
42566,613432155,service,,,,,,
42567,613432156,residential,,,,,,
42568,613432157,tertiary,,,,,,
42569,613432158,tertiary,,,,,,
42570,613434450,residential,,,,,,
42571,613434451,residential,,,,,,
42572,613434452,residential,,,,,,
42573,613434453,unclassified,,,,,,
42574,613434454,residential,,,,,,
42575,613434455,residential,,,,,,
42576,613441228,residential,,,,,,
42577,613441230,tertiary_link,,,,,,
42578,613441231,tertiary,,,,,,
42579,613441232,tertiary,,,,,,
42580,613441234,tertiary,,,,,,
42581,613441236,tertiary,,,,,,
42582,613441239,tertiary,,,,,,
42583,613441240,tertiary,,,,,,
42584,613441242,tertiary,,,,,,
42585,613441244,unclassified,,,,,,
42586,613441245,unclassified,,,,,,
42587,613441246,tertiary,,,,,,
42588,613441247,tertiary,,,,,,
42589,613441249,primary,,1986,,,,asphalt
42590,613441251,primary,,,,,,
42591,613441252,tertiary,,,,,,
42592,613443528,unclassified,,,,,,
42593,613443531,unclassified,,,,,,
42594,613443532,unclassified,,,,,,
42595,613443535,unclassified,,,,,,
42596,613443536,unclassified,,,,,,
42597,613463564,residential,,,,,,
42598,613463565,residential,,,,,,
42599,613463566,residential,,,,,,
42600,613463567,residential,,,,,,
42601,613463569,residential,,,,,,
42602,613463570,residential,,,,,,
42603,613463571,residential,,,,,,
42604,613463573,residential,,,,,,
42605,613463575,residential,,,,,,
42606,613463584,residential,,,,,,
42607,613463587,residential,,,,,,
42608,613468078,residential,,,,,,
42609,613468079,residential,,,,,,
42610,613468080,residential,,,,,,
42611,613468081,residential,,,,,,
42612,613468082,residential,,,,,,
42613,613468083,residential,,,,,,
42614,613468084,residential,,,,,,
42615,613468085,residential,,,,,,
42616,613468086,residential,,,,,,
42617,613468087,residential,,,,,,
42618,613468088,residential,,,,,,
42619,613468089,residential,,,,,,
42620,613469013,residential,,,,,,
42621,613469014,residential,,,,,,
42622,613469015,residential,,,,,,
42623,613469016,residential,,,,,,
42624,613469018,residential,,,,,,
42625,613469020,residential,,,,,,
42626,613469021,unclassified,,,,,,
42627,613469022,residential,,,,,,
42628,613469023,unclassified,,,,,,
42629,613474792,residential,,,,,,
42630,613474793,residential,,,,,,
42631,613482072,residential,,,,,,
42632,613482073,residential,,,,,,
42633,613482074,residential,,,,,,
42634,613482075,residential,,,,,,
42635,613482076,residential,,,,,,
42636,613482077,residential,,,,,,
42637,613482079,residential,,,,,,
42638,613482080,residential,,,,,,
42639,613482082,residential,,,,,,
42640,613482084,residential,,,,,,
42641,613482085,residential,,,,,,
42642,613482088,residential,,,,,,
42643,613482089,residential,,,,,,
42644,613482090,residential,,,,,,
42645,613482091,residential,,,,,,
42646,613482092,residential,,,,,,
42647,613482093,residential,,,,,,
42648,613482094,residential,,,,,,
42649,613482095,residential,,,,,,
42650,613482096,residential,,,,,,
42651,613482098,residential,,,,,,
42652,613482099,residential,,,,,,
42653,613482100,residential,,,,,,
42654,613482263,residential,,,,,,
42655,613482264,residential,,,,,,
42656,613482265,residential,,,,,,
42657,613482267,residential,,,,,,
42658,613482268,unclassified,,,,,,
42659,613482269,unclassified,,,,,,
42660,613482271,residential,,,,,,
42661,613482272,residential,,,,,,
42662,613482273,residential,,,,,,
42663,613482275,residential,,,,,,
42664,613482276,residential,,,,,,
42665,613482277,residential,,,,,,
42666,613482279,residential,,,,,,
42667,613482280,residential,,,,,,
42668,613482282,unclassified,,,,,,asphalt
42669,613482283,residential,,,,,,
42670,613482285,residential,,,,,,
42671,613482286,residential,,,,,,
42672,613482288,path,,,,,,
42673,613482289,residential,,,,,,
