X,Y,objectid,type_,desc_type,nom_lieu,pop_2005
14.438711248000061,-3.999950729999966,2001,1210100,Autre localité,Mabenga,
14.450474238000027,-3.996911699999941,2002,1210100,Autre localité,Mabolo,
14.141532969000025,-4.289139039999952,2003,1210100,Autre localité,Mangola,
14.591956998000057,-4.258048219999978,2005,1210100,Autre localité,Massémbo Loubaki,
14.580711248000057,-4.3226965,2006,1210100,Autre localité,Matoutou,
14.573113048000039,-4.038764219999962,2007,1210100,Autre localité,Matsila,
14.319381019000048,-4.108118679999961,2008,1210100,Autre localité,Mayoko,
14.528592658000036,-3.986005919999968,2009,1210100,Autre localité,Mbanza Ngounga,
14.119109949000062,-4.305141189999972,2010,1210100,Autre localité,Mbouaba,
13.982302029000039,-4.507957849999968,2011,1210100,Autre localité,Mboumini,
14.613271498000074,-4.202948099999958,2012,1210100,Autre localité,Mibangou,
14.542995698000027,-4.292603029999952,2014,1210100,Autre localité,Mikoko,
14.022201989000052,-4.322949379999955,2015,1210100,Autre localité,Mimpala,
13.983574069000042,-4.322820299999933,2016,1210100,Autre localité,Mindou,
14.550155268000026,-4.041324969999948,2017,1210100,Autre localité,Minkamou,
14.441269568000052,-4.097477439999977,2019,1210100,Autre localité,Missanda,
14.492351068000062,-4.036804949999976,2020,1210100,Autre localité,Missénga,
14.411538878000044,-4.147222689999978,2021,1210100,Autre localité,Missiémissié,
13.987746079000033,-4.363553079999974,2022,1210100,Autre localité,Moualou,
13.92062069900004,-4.453296689999945,2023,1210100,Autre localité,Moukazou,
14.019587419000061,-4.432334639999965,2024,1210100,Autre localité,Moulandou,
14.396977079000067,-4.0977304099999,2025,1210100,Autre localité,Mounkonkoto,
14.453059558000064,-4.406803699999955,2026,1210100,Autre localité,Mountsangoula,
14.588936828000044,-4.292332879999947,2027,1210100,Autre localité,Moupépé,
14.311201629000038,-4.054611719999968,2028,1210100,Autre localité,Moupou,
14.56023970800004,-4.192144079999935,2029,1210100,Autre localité,Mouyondzi,
14.268327769000052,-4.309909569999945,2030,1210100,Autre localité,Mpassa ferme,
14.130245729000023,-4.297070079999969,2031,1210100,Autre localité,Mpassa Fouélé,
14.156157289000078,-4.374874679999948,2032,1210100,Autre localité,Mpassa mines,
14.393207399000062,-4.157556239999963,2033,1210100,Autre localité,Mpassa mu ntsi,
14.376701839000077,-3.993260709999959,2034,1210100,Autre localité,Mpassa Tolo,
14.365662789000055,-4.184249749999935,2036,1210100,Autre localité,Mpiémé,
14.574027098000045,-4.208235319999972,2037,1210100,Autre localité,Ngamawolo,
14.58733638800004,-4.001219409999976,2038,1210100,Autre localité,Nganda Boudzoua,
14.515077508000047,-4.105446449999931,2039,1210100,Autre localité,Nganou,
13.959688079000045,-4.314556749999952,2040,1210100,Autre localité,Ngola Ndoundou,
14.575727028000074,-4.164573229999974,2041,1210100,Autre localité,Nguina,
14.195848029000047,-4.059826689999966,2043,1210100,Autre localité,Nouvelle vie,
13.969318969000028,-4.431849489999934,2044,1210100,Autre localité,Nsakala,
14.344076459000064,-4.172645589999945,2045,1210100,Autre localité,Nsansakou,
14.361600919000068,-4.078356809999946,2046,1210100,Autre localité,Nséngo,
14.323344409000072,-4.132490159999975,2047,1210100,Autre localité,Ntadi,
14.400627649000057,-3.985190109999962,2048,1210100,Autre localité,Nzambi ya mpoungou,
14.10663985900004,-4.316803179999965,2049,1210100,Autre localité,Nzinzi,
14.170568049000053,-4.267162029999952,2050,1210100,Autre localité,Paris sala,
14.365511079000044,-3.998568129999967,2051,1210100,Autre localité,Passi passi,
13.985642559000041,-4.4531125399999,2052,1210100,Autre localité,Sala,
14.332200389000036,-4.028089609999938,2055,1210100,Autre localité,Tonato,
14.455455018000066,-4.379479869999955,2056,1210100,Autre localité,Tounga diakou,
14.519544978000056,-4.085537919999979,2059,1210100,Autre localité,Yindoula,
16.181510907000074,-3.026595599999951,2060,1210100,Autre localité,Brick,
15.698177012000031,-3.090974059999951,2061,1210100,Autre localité,Carrefour,
15.514927654000076,-3.632071849999932,2062,1210100,Autre localité,Dieu le veut,
15.306274690000066,-3.41295532,2063,1210100,Autre localité,Dziba,
15.329607045000046,-3.509523899999976,2064,1210100,Autre localité,Dzion Dzion,
16.104460848000031,-3.5128709599999,2065,1210100,Autre localité,Edouani,
15.548271374000024,-3.361285579999958,2066,1210100,Autre localité,Icélé,
15.52771643400007,-3.437009619999969,2067,1210100,Autre localité,Ikan,
15.665985893000027,-3.467586639999979,2069,1210100,Autre localité,Imbama,
15.570491374000028,-3.325788469999964,2071,1210100,Autre localité,Imvouba,
15.618552033000071,-3.163347019999946,2073,1210100,Autre localité,Ingoli,
15.42412725500003,-3.426729889999933,2074,1210100,Autre localité,Ingolo,
15.657145843000023,-3.029572599999938,2075,1210100,Autre localité,Inoni falaise,
15.63642535300005,-3.06507407,2076,1210100,Autre localité,Inoni plateau,
15.542662534000044,-3.393871569999931,2077,1210100,Autre localité,Itaba,
16.053016169000045,-3.592756779999945,2078,1210100,Autre localité,Kaba ngomba,
16.023475319000056,-3.647103199999947,2079,1210100,Autre localité,Kaba école,
15.597124373000042,-3.224177839999925,2080,1210100,Autre localité,Kiani,
15.609678873000064,-3.193897969999966,2081,1210100,Autre localité,Kiéllé,
15.849183281000023,-3.619805769999971,2082,1210100,Autre localité,Kimbanguistes,
16.190503097000033,-3.355620749999957,2083,1210100,Autre localité,Kimpoko,
15.617246893000072,-3.171098269999959,2084,1210100,Autre localité,Kisangani,
15.875392161000036,-3.684998869999959,2085,1210100,Autre localité,Kitouadi,
